book_id,work_id,title,author_id,author_name,genre,pub_year,series,series_index,format
b_000095,w_00045,Mythos: River,a_0235,Peyton Wright,Horror,2017,,0,hardcover
b_000096,w_00045,Mythos: River,a_0235,Peyton Wright,Horror,2017,,0,paperback
b_000097,w_00046,Lost Secret,a_0064,Cameron Rodriguez,Fantasy,1998,,0,ebook
b_000098,w_00047,Eternal Forest,a_0691,Jordan Martinez,Fantasy,1999,,0,ebook
b_000099,w_00048,The Mirror of Eldoria (Book 1),a_0133,Casey Jones,Thriller,1990,The Wicked Throne Saga,1,hardcover
b_000100,w_00049,The Legacy of Mythos (Book 2),a_0011,Peyton Hernandez,Business,2015,The Wicked Throne Saga,2,ebook
b_000101,w_00049,The Legacy of Mythos (Book 2),a_0011,Peyton Hernandez,Business,2015,The Wicked Throne Saga,2,paperback
b_000102,w_00049,The Legacy of Mythos (Book 2),a_0011,Peyton Hernandez,Business,2015,The Wicked Throne Saga,2,hardcover
b_000103,w_00050,The Sea of Eldoria (Book 3),a_0054,Kendall Wright,History,2015,The Wicked Throne Saga,3,hardcover
b_000104,w_00051,Drakenfell: Mirror (Book 1),a_0316,Alex Wright,Poetry,2001,The Autumn Crown Saga,1,hardcover
b_000105,w_00051,Drakenfell: Mirror (Book 1),a_0316,Alex Wright,Poetry,2001,The Autumn Crown Saga,1,ebook
b_000106,w_00052,Avalon: Mirror (Book 2),a_0072,Logan White,Biography,1986,The Autumn Crown Saga,2,hardcover
b_000107,w_00052,Avalon: Mirror (Book 2),a_0072,Logan White,Biography,1986,The Autumn Crown Saga,2,paperback
b_000108,w_00052,Avalon: Mirror (Book 2),a_0072,Logan White,Biography,1986,The Autumn Crown Saga,2,ebook
b_000109,w_00053,Lost Forest (Book 3),a_0589,Riley Martin,Thriller,2008,The Autumn Crown Saga,3,ebook
b_000110,w_00053,Lost Forest (Book 3),a_0589,Riley Martin,Thriller,2008,The Autumn Crown Saga,3,hardcover
b_000111,w_00054,Forgotten Mirror (Book 1),a_0358,Quinn Perez,Non-Fiction,2024,The Lost Kingdom Saga,1,paperback
b_000112,w_00055,Mythos: Kingdom (Book 2),a_0226,Cameron Thompson,Science Fiction,2006,The Lost Kingdom Saga,2,hardcover
b_000113,w_00056,The River of Solara (Book 3),a_0002,Jamie Miller,Classics,2001,The Lost Kingdom Saga,3,ebook
b_000114,w_00057,Valeria: Empire (Book 4),a_0335,Morgan Hall,Thriller,2008,The Lost Kingdom Saga,4,paperback
b_000115,w_00057,Valeria: Empire (Book 4),a_0335,Morgan Hall,Thriller,2008,The Lost Kingdom Saga,4,hardcover
b_000116,w_00057,Valeria: Empire (Book 4),a_0335,Morgan Hall,Thriller,2008,The Lost Kingdom Saga,4,ebook
b_000117,w_00058,Sacred Code (Book 5),a_0105,Sam Wilson,Non-Fiction,1983,The Lost Kingdom Saga,5,paperback
b_000118,w_00058,Sacred Code (Book 5),a_0105,Sam Wilson,Non-Fiction,1983,The Lost Kingdom Saga,5,ebook
b_000119,w_00058,Sacred Code (Book 5),a_0105,Sam Wilson,Non-Fiction,1983,The Lost Kingdom Saga,5,hardcover
b_000120,w_00059,The Empire of Kynthos (Book 1),a_0684,Drew Hall,Philosophy,2000,The Shadow Library Saga,1,paperback
b_000121,w_00059,The Empire of Kynthos (Book 1),a_0684,Drew Hall,Philosophy,2000,The Shadow Library Saga,1,hardcover
b_000122,w_00059,The Empire of Kynthos (Book 1),a_0684,Drew Hall,Philosophy,2000,The Shadow Library Saga,1,ebook
b_000123,w_00060,Mythos: Throne (Book 2),a_0203,Peyton Martinez,Children,1983,The Shadow Library Saga,2,hardcover
b_000124,w_00061,Avalon: Labyrinth (Book 3),a_0332,Rowan Moore,History,1983,The Shadow Library Saga,3,ebook
b_000125,w_00062,Aramoor: Throne (Book 1),a_0013,Kendall Wilson,Young Adult,1999,The Forgotten Sea Saga,1,hardcover
b_000126,w_00062,Aramoor: Throne (Book 1),a_0013,Kendall Wilson,Young Adult,1999,The Forgotten Sea Saga,1,ebook
b_000127,w_00063,Drakenfell: Kingdom (Book 2),a_0091,Reese Scott,Self-Help,2014,The Forgotten Sea Saga,2,ebook
b_000128,w_00063,Drakenfell: Kingdom (Book 2),a_0091,Reese Scott,Self-Help,2014,The Forgotten Sea Saga,2,hardcover
b_000129,w_00064,Crimson Sea (Book 1),a_0145,Sam Wilson,Romance,2018,The Crescent Kingdom Saga,1,ebook
b_000130,w_00064,Crimson Sea (Book 1),a_0145,Sam Wilson,Romance,2018,The Crescent Kingdom Saga,1,paperback
b_000131,w_00065,The Kingdom of Valeria (Book 2),a_0036,Casey Thomas,Horror,1999,The Crescent Kingdom Saga,2,paperback
b_000132,w_00065,The Kingdom of Valeria (Book 2),a_0036,Casey Thomas,Horror,1999,The Crescent Kingdom Saga,2,ebook
b_000133,w_00065,The Kingdom of Valeria (Book 2),a_0036,Casey Thomas,Horror,1999,The Crescent Kingdom Saga,2,hardcover
b_000134,w_00066,Veridian: Secret (Book 3),a_0508,Avery Lopez,Business,2023,The Crescent Kingdom Saga,3,ebook
b_000135,w_00067,Nemoris: Star (Book 4),a_0661,Morgan Moore,Children,2022,The Crescent Kingdom Saga,4,ebook
b_000136,w_00068,Storm Labyrinth (Book 5),a_0689,Riley Lopez,History,2007,The Crescent Kingdom Saga,5,hardcover
b_000137,w_00068,Storm Labyrinth (Book 5),a_0689,Riley Lopez,History,2007,The Crescent Kingdom Saga,5,paperback
b_000138,w_00068,Storm Labyrinth (Book 5),a_0689,Riley Lopez,History,2007,The Crescent Kingdom Saga,5,ebook
b_000139,w_00069,Aramoor: Library,a_0186,Riley Clark,Mystery,1989,,0,paperback
b_000140,w_00069,Aramoor: Library,a_0186,Riley Clark,Mystery,1989,,0,ebook
b_000141,w_00069,Aramoor: Library,a_0186,Riley Clark,Mystery,1989,,0,hardcover
b_000142,w_00070,The Mirror of Veridian,a_0552,Kendall Hernandez,Romance,1985,,0,hardcover
b_000143,w_00070,The Mirror of Veridian,a_0552,Kendall Hernandez,Romance,1985,,0,ebook
b_000144,w_00071,The Library of Eldoria,a_0352,Kendall Lewis,Philosophy,1986,,0,paperback
b_000145,w_00071,The Library of Eldoria,a_0352,Kendall Lewis,Philosophy,1986,,0,ebook
b_000146,w_00072,Drakenfell: Crown,a_0032,Taylor Johnson,Young Adult,1990,,0,paperback
b_000147,w_00072,Drakenfell: Crown,a_0032,Taylor Johnson,Young Adult,1990,,0,hardcover
b_000148,w_00072,Drakenfell: Crown,a_0032,Taylor Johnson,Young Adult,1990,,0,ebook
b_000149,w_00073,Aramoor: Blade,a_0063,Kendall Thomas,Historical,1993,,0,hardcover
b_000150,w_00073,Aramoor: Blade,a_0063,Kendall Thomas,Historical,1993,,0,ebook
b_000151,w_00073,Aramoor: Blade,a_0063,Kendall Thomas,Historical,1993,,0,paperback
b_000152,w_00074,The Secret of Drakenfell (Book 1),a_0383,Alex Walker,Biography,1980,The Winter Phoenix Saga,1,hardcover
b_000153,w_00074,The Secret of Drakenfell (Book 1),a_0383,Alex Walker,Biography,1980,The Winter Phoenix Saga,1,ebook
b_000154,w_00074,The Secret of Drakenfell (Book 1),a_0383,Alex Walker,Biography,1980,The Winter Phoenix Saga,1,paperback
b_000155,w_00075,The Library of Drakenfell (Book 1),a_0296,Skyler Moore,Children,2015,The Autumn Phoenix Saga,1,ebook
b_000156,w_00075,The Library of Drakenfell (Book 1),a_0296,Skyler Moore,Children,2015,The Autumn Phoenix Saga,1,hardcover
b_000157,w_00076,The Crown of Kynthos (Book 1),a_0005,Kendall Hernandez,Young Adult,2007,The Sacred River Saga,1,hardcover
b_000158,w_00077,The Empire of Avalon (Book 1),a_0651,Quinn Miller,Poetry,2021,The Hidden Sea Saga,1,paperback
b_000159,w_00078,Silver Mirror (Book 2),a_0511,Jamie Davis,Romance,1987,The Hidden Sea Saga,2,ebook
b_000160,w_00078,Silver Mirror (Book 2),a_0511,Jamie Davis,Romance,1987,The Hidden Sea Saga,2,hardcover
b_000161,w_00079,Winter Labyrinth (Book 3),a_0351,Quinn Thomas,Horror,2011,The Hidden Sea Saga,3,ebook
b_000162,w_00080,The River of Veridian (Book 4),a_0690,Casey Wright,Biography,1994,The Hidden Sea Saga,4,ebook
b_000163,w_00081,Burning Prophecy,a_0679,Logan Wilson,Graphic Novels,2019,,0,ebook
b_000164,w_00081,Burning Prophecy,a_0679,Logan Wilson,Graphic Novels,2019,,0,hardcover
b_000165,w_00081,Burning Prophecy,a_0679,Logan Wilson,Graphic Novels,2019,,0,paperback
b_000166,w_00082,Solara: Garden,a_0681,Jordan Scott,Mystery,2024,,0,ebook
b_000167,w_00082,Solara: Garden,a_0681,Jordan Scott,Mystery,2024,,0,hardcover
b_000168,w_00083,The Crown of Valeria,a_0181,Kendall Thompson,Mystery,1993,,0,paperback
b_000169,w_00083,The Crown of Valeria,a_0181,Kendall Thompson,Mystery,1993,,0,hardcover
b_000170,w_00084,Fallen Blade,a_0616,Harper Walker,History,1981,,0,paperback
b_000171,w_00084,Fallen Blade,a_0616,Harper Walker,History,1981,,0,ebook
b_000172,w_00084,Fallen Blade,a_0616,Harper Walker,History,1981,,0,hardcover
b_000173,w_00085,Avalon: Labyrinth,a_0353,Alex King,Young Adult,2009,,0,hardcover
b_000174,w_00085,Avalon: Labyrinth,a_0353,Alex King,Young Adult,2009,,0,ebook
b_000175,w_00085,Avalon: Labyrinth,a_0353,Alex King,Young Adult,2009,,0,paperback
b_000176,w_00086,The Phoenix of Avalon,a_0508,Avery Lopez,Poetry,1983,,0,hardcover
b_000177,w_00087,Burning Legacy,a_0601,Alex Martinez,Biography,2021,,0,hardcover
b_000178,w_00088,Eldoria: Blade,a_0114,Casey Rodriguez,Graphic Novels,2013,,0,hardcover
b_000179,w_00089,Mythos: Kingdom,a_0313,Logan Martin,History,2012,,0,paperback
b_000180,w_00089,Mythos: Kingdom,a_0313,Logan Martin,History,2012,,0,hardcover
b_000181,w_00090,The Mirror of Mythos,a_0090,Sam Perez,Mystery,2007,,0,paperback
b_000182,w_00090,The Mirror of Mythos,a_0090,Sam Perez,Mystery,2007,,0,ebook
b_000183,w_00091,Golden Prophecy,a_0195,Cameron Wright,Mystery,2024,,0,paperback
b_000184,w_00092,Avalon: Library,a_0289,Kendall Martinez,Philosophy,2021,,0,hardcover
b_000185,w_00092,Avalon: Library,a_0289,Kendall Martinez,Philosophy,2021,,0,paperback
b_000186,w_00093,Wicked Prophecy,a_0598,Taylor Wilson,Mystery,2002,,0,ebook
b_000187,w_00093,Wicked Prophecy,a_0598,Taylor Wilson,Mystery,2002,,0,paperback
b_000188,w_00093,Wicked Prophecy,a_0598,Taylor Wilson,Mystery,2002,,0,hardcover
b_000189,w_00094,Drakenfell: Legacy (Book 1),a_0603,Kendall Thompson,Philosophy,1980,The Wicked Sea Saga,1,hardcover
b_000190,w_00095,The Kingdom of Nemoris (Book 1),a_0272,Quinn Smith,Historical,1990,The Winter Kingdom Saga,1,hardcover
b_000191,w_00096,Autumn Chronicle (Book 2),a_0230,Cameron Wright,Science Fiction,1990,The Winter Kingdom Saga,2,hardcover
b_000192,w_00097,The Prophecy of Mythos (Book 1),a_0371,Logan Thompson,Historical,2017,The Eternal Empire Saga,1,hardcover
b_000193,w_00097,The Prophecy of Mythos (Book 1),a_0371,Logan Thompson,Historical,2017,The Eternal Empire Saga,1,paperback
b_000194,w_00098,Aramoor: Song (Book 2),a_0638,Peyton Johnson,Horror,2019,The Eternal Empire Saga,2,paperback
b_000195,w_00099,Mythos: Quest (Book 1),a_0683,Rowan Young,Biography,1992,The Emerald Song Saga,1,ebook
b_000196,w_00099,Mythos: Quest (Book 1),a_0683,Rowan Young,Biography,1992,The Emerald Song Saga,1,paperback
b_000197,w_00099,Mythos: Quest (Book 1),a_0683,Rowan Young,Biography,1992,The Emerald Song Saga,1,hardcover
b_000198,w_00100,The Prophecy of Valeria (Book 2),a_0158,Logan Wilson,Self-Help,2013,The Emerald Song Saga,2,hardcover
b_000199,w_00100,The Prophecy of Valeria (Book 2),a_0158,Logan Wilson,Self-Help,2013,The Emerald Song Saga,2,ebook
b_000200,w_00101,Lost Forest (Book 1),a_0130,Rowan Rodriguez,Children,2000,The Wicked Mirror Saga,1,ebook
b_000201,w_00101,Lost Forest (Book 1),a_0130,Rowan Rodriguez,Children,2000,The Wicked Mirror Saga,1,paperback
b_000202,w_00102,Kynthos: Labyrinth (Book 2),a_0494,Kendall Martinez,Biography,1995,The Wicked Mirror Saga,2,ebook
b_000203,w_00103,Valeria: Code (Book 3),a_0210,Sage Garcia,Horror,2012,The Wicked Mirror Saga,3,ebook
b_000204,w_00103,Valeria: Code (Book 3),a_0210,Sage Garcia,Horror,2012,The Wicked Mirror Saga,3,paperback
b_000205,w_00103,Valeria: Code (Book 3),a_0210,Sage Garcia,Horror,2012,The Wicked Mirror Saga,3,hardcover
b_000206,w_00104,The Kingdom of Drakenfell (Book 1),a_0139,Logan Walker,Philosophy,1999,The Shadow Garden Saga,1,paperback
b_000207,w_00104,The Kingdom of Drakenfell (Book 1),a_0139,Logan Walker,Philosophy,1999,The Shadow Garden Saga,1,ebook
b_000208,w_00104,The Kingdom of Drakenfell (Book 1),a_0139,Logan Walker,Philosophy,1999,The Shadow Garden Saga,1,hardcover
b_000209,w_00105,Summer Secret (Book 1),a_0021,Casey Taylor,Biography,1990,The Emerald Crown Saga,1,ebook
b_000210,w_00105,Summer Secret (Book 1),a_0021,Casey Taylor,Biography,1990,The Emerald Crown Saga,1,hardcover
b_000211,w_00106,Storm Labyrinth (Book 2),a_0282,Quinn Anderson,Mystery,2020,The Emerald Crown Saga,2,paperback
b_000212,w_00106,Storm Labyrinth (Book 2),a_0282,Quinn Anderson,Mystery,2020,The Emerald Crown Saga,2,hardcover
b_000213,w_00106,Storm Labyrinth (Book 2),a_0282,Quinn Anderson,Mystery,2020,The Emerald Crown Saga,2,ebook
b_000214,w_00107,Winter Sea (Book 3),a_0274,Peyton Clark,Biography,1981,The Emerald Crown Saga,3,hardcover
b_000215,w_00107,Winter Sea (Book 3),a_0274,Peyton Clark,Biography,1981,The Emerald Crown Saga,3,ebook
b_000216,w_00108,Avalon: Garden,a_0394,Avery Moore,Business,2016,,0,ebook
b_000217,w_00109,Storm Library,a_0140,Harper Allen,Thriller,1989,,0,hardcover
b_000218,w_00109,Storm Library,a_0140,Harper Allen,Thriller,1989,,0,ebook
b_000219,w_00109,Storm Library,a_0140,Harper Allen,Thriller,1989,,0,paperback
b_000220,w_00110,Drakenfell: Quest,a_0500,Reese Thomas,Philosophy,1983,,0,hardcover
b_000221,w_00111,The Labyrinth of Veridian (Book 1),a_0476,Alex Lewis,Children,2014,The Wicked Chronicle Saga,1,ebook
b_000222,w_00111,The Labyrinth of Veridian (Book 1),a_0476,Alex Lewis,Children,2014,The Wicked Chronicle Saga,1,hardcover
b_000223,w_00112,Nemoris: Chronicle (Book 2),a_0323,Casey Moore,Children,1985,The Wicked Chronicle Saga,2,hardcover
b_000224,w_00112,Nemoris: Chronicle (Book 2),a_0323,Casey Moore,Children,1985,The Wicked Chronicle Saga,2,paperback
b_000225,w_00112,Nemoris: Chronicle (Book 2),a_0323,Casey Moore,Children,1985,The Wicked Chronicle Saga,2,ebook
b_000226,w_00113,Sacred Secret (Book 3),a_0126,Morgan Clark,Historical,2002,The Wicked Chronicle Saga,3,hardcover
b_000227,w_00113,Sacred Secret (Book 3),a_0126,Morgan Clark,Historical,2002,The Wicked Chronicle Saga,3,paperback
b_000228,w_00114,The River of Solara,a_0354,Kendall Thomas,Graphic Novels,2002,,0,hardcover
b_000229,w_00115,Kynthos: Prophecy,a_0472,Drew Jones,Fantasy,1999,,0,paperback
b_000230,w_00115,Kynthos: Prophecy,a_0472,Drew Jones,Fantasy,1999,,0,hardcover
b_000231,w_00116,Valeria: Crown,a_0260,Peyton Anderson,Historical,2003,,0,paperback
b_000232,w_00117,Solara: Kingdom (Book 1),a_0184,Harper Rodriguez,Biography,2017,The Wicked Song Saga,1,hardcover
b_000233,w_00117,Solara: Kingdom (Book 1),a_0184,Harper Rodriguez,Biography,2017,The Wicked Song Saga,1,ebook
b_000234,w_00117,Solara: Kingdom (Book 1),a_0184,Harper Rodriguez,Biography,2017,The Wicked Song Saga,1,paperback
b_000235,w_00118,Drakenfell: Labyrinth (Book 1),a_0354,Kendall Thomas,History,2005,The Eternal Prophecy Saga,1,paperback
b_000236,w_00118,Drakenfell: Labyrinth (Book 1),a_0354,Kendall Thomas,History,2005,The Eternal Prophecy Saga,1,ebook
b_000237,w_00118,Drakenfell: Labyrinth (Book 1),a_0354,Kendall Thomas,History,2005,The Eternal Prophecy Saga,1,hardcover
b_000238,w_00119,Veridian: River (Book 1),a_0248,Jordan King,History,2004,The Crescent Secret Saga,1,ebook
b_000239,w_00119,Veridian: River (Book 1),a_0248,Jordan King,History,2004,The Crescent Secret Saga,1,paperback
b_000240,w_00120,Drakenfell: Crown (Book 1),a_0280,Drew Lee,Mystery,2012,The Autumn Star Saga,1,ebook
b_000241,w_00120,Drakenfell: Crown (Book 1),a_0280,Drew Lee,Mystery,2012,The Autumn Star Saga,1,hardcover
b_000242,w_00121,Veridian: Prophecy (Book 1),a_0244,Quinn Allen,Romance,2002,The Lost Phoenix Saga,1,ebook
